Id,SalePrice
1461,121269.9881406944
1462,161366.53018945837
1463,186574.88765980295
1464,200342.84589809444
1465,177600.17163287493
1466,175479.32485497094
1467,173687.70016563887
1468,169929.71925846685
1469,188110.4380367769
1470,122659.02575639871
1471,182970.15395399064
1472,94647.43007717835
1473,98890.8634124715
1474,155454.5134399881
1475,122447.19353989144
1476,369873.6897316486
1477,251729.45953297854
1478,287915.4070378776
1479,288968.99762681697
1480,489140.01518088573
1481,317008.74896168156
1482,203680.1507798591
1483,172163.8789722446
1484,164524.9361829558
1485,179361.54336997579
1486,199610.86832115764
1487,321270.93450673716
1488,229388.15865040786
1489,205929.26958184093
1490,231800.71895769011
1491,192846.9727664656
1492,90924.1863619593
1493,177033.43133643476
1494,317076.87813148764
1495,293717.95046355115
1496,244254.80544500024
1497,183263.18014028648
1498,157737.3314470682
1499,155877.604796523
1500,154968.5827871936
1501,173698.54728126712
1502,147388.26356569972
1503,277469.041001064
1504,238581.44782422308
1505,228273.1345761656
1506,184295.21272779975
1507,231182.96663155075
1508,201372.40352329446
1509,165695.88641040426
1510,149989.3001587092
1511,146137.47983775035
1512,165290.8076753788
1513,129786.1992460963
1514,135990.2890182423
1515,190877.51519522746
1516,151153.2084888416
1517,164492.34438186313
1518,135599.61001263256
1519,205098.90144522817
1520,136105.66783280828
1521,139042.5275437464
1522,169202.32976497957
1523,108059.12923745443
1524,128845.96863816128
1525,121921.13433242164
1526,108772.2567350387
1527,109802.52409946159
1528,126620.79582421856
1529,149271.2644558518
1530,166096.52873514662
1531,106513.81027752657
1532,101478.48389936914
1533,141268.36764177206
1534,112807.04076631194
1535,148597.11433036515
1536,104387.82268450786
1537,68328.80333636575
1538,135658.76764453156
1539,194026.3585501748
1540,100242.52532197401
1541,139872.23398967946
1542,127862.52815605303
1543,193517.89944110153
1544,70751.72938182468
1545,105787.93387299962
1546,124432.94096717313
1547,122156.6998248586
1548,127595.86763351005
1549,105942.83303279511
1550,127399.19317791174
1551,106450.68981201168
1552,137670.4203676376
1553,149879.10461953483
1554,120305.23526082822
1555,180714.2171598594
1556,119700.41249419439
1557,112686.79570620813
1558,88132.30763937047
1559,79194.11310475125
1560,141769.41119352824
