Id,SalePrice
1461,130849.718591708
1462,163627.88447896455
1463,177385.90836729258
1464,190574.2414035831
1465,184687.52645738932
1466,173567.03980552315
1467,169067.1788956705
1468,166195.90993652766
1469,193444.53958423954
1470,123462.09788160259
1471,185128.92155019232
1472,93701.476187481
1473,94547.4751721417
1474,152847.07168971925
1475,134249.92502846828
1476,384136.5205365124
1477,272997.8410925131
1478,315907.8169102445
1479,295168.67733338947
1480,477725.1227469476
1481,345082.2683971889
1482,197172.95674444464
1483,164590.0623762156
1484,169217.39439915726
1485,184610.4488373555
1486,198017.70066980206
1487,347789.82457015925
1488,239549.26892069515
1489,198808.28838732184
1490,227858.01597986626
1491,201056.0936116845
1492,102921.01118617039
1493,184133.3800807955
1494,304386.73960972455
1495,317760.6042212772
1496,225500.96367463897
1497,186718.30253527852
1498,168778.35392864235
1499,170350.4499982715
1500,154818.05618688904
1501,169010.7195629636
1502,157362.618770531
1503,288377.30801295623
1504,227056.10090962026
1505,220576.07740027
1506,196786.75529197248
1507,248533.0201702138
1508,208246.48933031523
1509,168739.8392215954
1510,146624.53290126324
1511,148244.3669637707
1512,171190.80360205742
1513,134477.01533603185
1514,149808.62382847894
1515,181066.66753068677
1516,145750.9304445973
1517,166541.96596001307
1518,142029.19957843958
1519,216777.09803106743
1520,141804.21768302325
1521,144547.86736381325
1522,171216.35756441994
1523,114141.06189332054
1524,135006.38470213316
1525,125211.41517758573
1526,117533.60686030432
1527,104181.95770302825
1528,129799.18277458938
1529,146258.69330084993
1530,181078.5585746992
1531,113799.0133609626
1532,100712.29705701384
1533,141031.1716830868
1534,113654.71603699794
1535,143312.4655539895
1536,110090.85246849904
1537,66065.13227261376
1538,158593.31960339338
1539,200448.55461256823
1540,97698.45136794238
1541,140140.92882226437
1542,120391.5353613986
1543,208122.00767089473
1544,82263.49417917462
1545,102626.24980090276
1546,119222.4243201349
1547,122514.14516858265
1548,128749.7145875483
1549,110199.44434110478
1550,126425.02224788952
1551,119779.8567385703
1552,133962.33673519696
1553,145888.75947514037
1554,112223.60560854133
1555,180158.8356510428
1556,104132.19988788468
1557,124203.6817006954
1558,112119.16779489779
1559,61751.224260724295
1560,136562.08684571303
1561,124892.04195203872
1562,129392.40827414548
1563,121402.80097290628
1564,167428.9744529581
1565,148610.94000492722
1566,232447.09572408133
1567,75458.31889114715
1568,233796.16016146133
1569,142239.62135011717
1570,137009.12558680974
1571,136114.8735379816
